appid,timestamp,player_count
2592160,2025-11-08 23:01:58,26930
2592160,2025-11-09 00:01:47,29021
2592160,2025-11-09 01:01:52,30465
2592160,2025-11-09 02:01:00,32066
2592160,2025-11-09 03:01:47,33682
2592160,2025-11-09 04:01:00,34714
2592160,2025-11-09 05:01:40,34524
2592160,2025-11-09 06:01:45,33358
2592160,2025-11-09 07:01:48,32083
2592160,2025-11-09 08:01:19,31175
2592160,2025-11-09 09:01:45,31053
2592160,2025-11-09 10:01:42,30851
2592160,2025-11-09 11:01:41,30047
2592160,2025-11-09 12:01:04,28405
2592160,2025-11-09 13:01:48,25726
2592160,2025-11-09 14:01:41,22112
2592160,2025-11-09 15:01:41,19137
2592160,2025-11-09 16:01:38,17311
2592160,2025-11-09 17:01:39,16761
2592160,2025-11-09 18:01:11,16592
2592160,2025-11-09 19:01:46,16893
2592160,2025-11-09 20:01:50,18598
2592160,2025-11-09 21:01:41,20571
2592160,2025-11-09 22:01:44,22619
2592160,2025-11-09 23:00:46,24433
2592160,2025-11-10 00:01:50,26046
2592160,2025-11-10 01:01:53,27949
2592160,2025-11-10 02:01:54,30024
2592160,2025-11-10 03:00:47,31704
2592160,2025-11-10 04:01:47,32150
2592160,2025-11-10 05:01:46,31276
2592160,2025-11-10 06:01:51,29756
2592160,2025-11-10 07:01:34,28796
2592160,2025-11-10 08:02:02,28348
2592160,2025-11-10 09:00:42,28103
2592160,2025-11-10 10:01:45,27006
2592160,2025-11-10 11:01:43,24873
2592160,2025-11-10 12:01:03,21858
2592160,2025-11-10 13:01:49,18607
2592160,2025-11-10 14:01:34,15570
2592160,2025-11-10 15:01:46,13356
2592160,2025-11-10 16:01:41,12021
2592160,2025-11-10 17:00:43,11306
2592160,2025-11-10 18:01:08,11099
2592160,2025-11-10 19:01:46,11463
2592160,2025-11-10 20:01:39,12227
2592160,2025-11-10 21:01:34,13500
2592160,2025-11-10 22:01:47,14882
2592160,2025-11-10 23:01:56,16250
2592160,2025-11-11 00:01:21,17883
2592160,2025-11-11 01:02:00,19737
2592160,2025-11-11 02:02:10,21299
2592160,2025-11-11 03:00:59,22901
2592160,2025-11-11 04:01:53,24017
2592160,2025-11-11 05:02:51,24055
2592160,2025-11-11 06:01:57,23343
2592160,2025-11-11 07:01:39,23292
2592160,2025-11-11 08:02:03,23874
2592160,2025-11-11 09:01:48,24518
2592160,2025-11-11 10:01:01,24300
2592160,2025-11-11 11:00:49,22876
2592160,2025-11-11 12:01:49,20384
2592160,2025-11-11 13:01:45,17713
2592160,2025-11-11 14:01:41,15117
2592160,2025-11-11 15:01:01,13063
2592160,2025-11-11 16:01:46,11771
2592160,2025-11-11 17:01:41,11316
2592160,2025-11-11 18:00:40,11146
2592160,2025-11-11 19:01:31,11521
2592160,2025-11-11 20:01:46,12363
2592160,2025-11-11 21:02:23,13802
2592160,2025-11-11 22:01:55,15235
2592160,2025-11-11 23:01:53,16986
2592160,2025-11-12 00:01:59,18911
2592160,2025-11-12 01:02:47,20381
2592160,2025-11-12 02:01:49,22217
2592160,2025-11-12 03:02:52,23794
2592160,2025-11-12 04:00:47,24148
2592160,2025-11-12 05:01:13,23494
2592160,2025-11-12 06:00:53,22774
2592160,2025-11-12 07:01:16,22485
2592160,2025-11-12 08:00:46,23056
2592160,2025-11-12 09:01:50,23539
2592160,2025-11-12 10:02:00,23294
2592160,2025-11-12 11:01:25,21983
2592160,2025-11-12 12:01:49,19670
2592160,2025-11-12 13:01:44,16808
2592160,2025-11-12 14:01:47,14436
2592160,2025-11-12 15:00:52,12458
2592160,2025-11-12 16:01:53,11287
2592160,2025-11-12 17:01:47,10913
2592160,2025-11-12 18:01:44,11258
2592160,2025-11-12 19:01:41,11775
2592160,2025-11-12 20:01:47,12847
2592160,2025-11-12 21:01:07,14703
2592160,2025-11-12 22:01:52,16899
2592160,2025-11-12 23:01:13,20274
2592160,2025-11-13 00:01:11,31193
1675200,2025-11-09 05:39:05,0
1675200,2025-11-12 03:31:23,0
1675200,2025-11-12 16:24:10,0
1771300,2025-11-06 23:02:13,11539
1771300,2025-11-07 00:02:10,11202
1771300,2025-11-07 01:02:02,11459
1771300,2025-11-07 02:01:33,12235
1771300,2025-11-07 03:02:03,13006
1771300,2025-11-07 04:01:57,12813
1771300,2025-11-07 05:01:59,11621
1771300,2025-11-07 06:01:58,10070
1771300,2025-11-07 07:03:01,8868
1771300,2025-11-07 08:00:57,8590
1771300,2025-11-07 09:01:35,8896
1771300,2025-11-07 10:02:15,9089
1771300,2025-11-07 11:02:02,9051
1771300,2025-11-07 12:00:54,9127
1771300,2025-11-07 13:01:56,8976
1771300,2025-11-07 14:02:08,9284
1771300,2025-11-07 15:01:53,10282
1771300,2025-11-07 16:02:03,11422
1771300,2025-11-07 17:02:05,12675
1771300,2025-11-07 18:01:52,14509
1771300,2025-11-07 19:01:19,16754
1771300,2025-11-07 20:01:44,19439
1771300,2025-11-07 21:01:45,21712
1771300,2025-11-07 22:02:10,23120
1771300,2025-11-07 23:01:20,23078
1771300,2025-11-08 00:02:02,22537
1771300,2025-11-08 01:00:51,21795
1771300,2025-11-08 02:01:48,21744
1771300,2025-11-08 03:01:18,22264
1771300,2025-11-08 04:01:09,22220
1771300,2025-11-08 05:01:50,21005
1771300,2025-11-08 06:01:48,18643
1771300,2025-11-08 07:01:07,16403
1771300,2025-11-08 08:01:44,15675
1771300,2025-11-08 09:00:50,16600
1771300,2025-11-08 10:01:50,18119
1771300,2025-11-08 11:02:46,18659
1771300,2025-11-08 12:01:04,19466
1771300,2025-11-08 13:01:13,20210
1771300,2025-11-08 14:02:12,21297
1771300,2025-11-08 15:02:26,22766
1771300,2025-11-08 16:01:47,24677
1771300,2025-11-08 17:01:42,25859
1771300,2025-11-08 18:01:45,28055
1771300,2025-11-08 19:01:37,30828
1771300,2025-11-08 20:01:40,33908
1771300,2025-11-08 21:01:41,36527
1771300,2025-11-08 22:01:38,37556
1771300,2025-11-08 23:01:56,36853
1771300,2025-11-09 00:01:41,34967
1771300,2025-11-09 01:01:46,33229
1771300,2025-11-09 02:00:55,32359
1771300,2025-11-09 03:01:43,31953
1771300,2025-11-09 04:00:58,31249
1771300,2025-11-09 05:01:38,29531
1771300,2025-11-09 06:01:43,26540
1771300,2025-11-09 07:01:46,23239
1771300,2025-11-09 08:01:17,21748
1771300,2025-11-09 09:01:43,22657
1771300,2025-11-09 10:01:40,24209
1771300,2025-11-09 11:01:40,24748
1771300,2025-11-09 12:01:04,25751
1771300,2025-11-09 13:01:49,26596
1771300,2025-11-09 14:01:42,27420
1771300,2025-11-09 15:01:42,28545
1771300,2025-11-09 16:01:40,30443
1771300,2025-11-09 17:01:40,32293
1771300,2025-11-09 18:01:12,34574
1771300,2025-11-09 19:01:45,37450
1771300,2025-11-09 20:01:48,41620
1771300,2025-11-09 21:01:38,44866
1771300,2025-11-09 22:01:39,44766
1771300,2025-11-09 23:00:39,42405
1771300,2025-11-10 00:01:41,39276
1771300,2025-11-10 01:01:45,37963
1771300,2025-11-10 02:01:46,37799
1771300,2025-11-10 03:00:40,37464
1771300,2025-11-10 04:01:42,34874
1771300,2025-11-10 05:01:41,30968
1771300,2025-11-10 06:01:46,26444
1771300,2025-11-10 07:01:30,22710
1771300,2025-11-10 08:01:57,21255
1771300,2025-11-10 09:00:37,20793
1771300,2025-11-10 10:01:41,20571
1771300,2025-11-10 11:01:41,19811
1771300,2025-11-10 12:01:00,19855
1771300,2025-11-10 13:01:47,18244
1771300,2025-11-10 14:01:32,17840
1771300,2025-11-10 15:01:45,18708
1771300,2025-11-10 16:01:40,20429
1771300,2025-11-10 17:00:43,21954
1771300,2025-11-10 18:01:11,24480
1771300,2025-11-10 19:01:49,27860
1771300,2025-11-10 20:01:39,31618
1771300,2025-11-10 21:01:32,34297
1771300,2025-11-10 22:01:44,34824
1771300,2025-11-10 23:01:51,33185
1771300,2025-11-11 00:01:14,31750
1771300,2025-11-11 01:01:49,30850
1771300,2025-11-11 02:01:29,28335
1771300,2025-11-11 03:00:50,27537
1771300,2025-11-11 04:01:45,25785
1771300,2025-11-11 05:01:43,22684
1771300,2025-11-11 06:01:51,19283
1771300,2025-11-11 07:01:32,16605
1771300,2025-11-11 08:01:08,15730
1771300,2025-11-11 09:01:42,15495
1771300,2025-11-11 10:00:55,15734
1771300,2025-11-11 11:00:44,15560
1771300,2025-11-11 12:01:45,15698
1771300,2025-11-11 13:01:41,14428
1771300,2025-11-11 14:01:38,14302
1771300,2025-11-11 15:00:59,15019
1771300,2025-11-11 16:01:45,16410
1771300,2025-11-11 17:01:42,17735
1771300,2025-11-11 18:00:43,19838
1771300,2025-11-11 19:01:35,22550
1771300,2025-11-11 20:01:47,25657
1771300,2025-11-11 21:02:21,28170
1771300,2025-11-11 22:01:50,28764
1771300,2025-11-11 23:01:45,27194
1771300,2025-11-12 00:01:51,24679
1771300,2025-11-12 01:02:37,27629
1771300,2025-11-12 02:01:42,30336
1771300,2025-11-12 03:02:45,32072
1771300,2025-11-12 04:00:41,30945
1771300,2025-11-12 05:01:07,27490
1771300,2025-11-12 06:00:47,23358
1771300,2025-11-12 07:01:10,20249
1771300,2025-11-12 08:00:40,18892
1771300,2025-11-12 09:01:44,18631
1771300,2025-11-12 10:01:54,18784
1771300,2025-11-12 11:01:19,18108
1771300,2025-11-12 12:01:44,18413
1771300,2025-11-12 13:01:39,17479
1771300,2025-11-12 14:01:42,17708
1771300,2025-11-12 15:00:47,18764
1771300,2025-11-12 16:01:49,20277
1771300,2025-11-12 17:01:47,21692
1771300,2025-11-12 18:01:45,24152
1771300,2025-11-12 19:01:40,27354
1771300,2025-11-12 20:01:45,30818
1771300,2025-11-12 21:01:03,34036
1771300,2025-11-12 22:01:46,34996
